Namespace(algo='dqn', batch_size=32, checkpoint_freq=200000, discount=0.99, ent_coef=0.01, env='BreakoutDeterministic-v4', eps_decay=200000, frame_skip=1, frame_stack=4, load='breakout_dqn/199999.pth', log='log_breakout_dqn.txt', lr=0.0001, niter=200000, nproc=2, parallel_env=0, print_freq=500, replay_size=1000000, save_dir='breakout_dqn/', target_update=2500, train_freq=2, train_start=5000, value_coef=0.5)
observation space: Box(4, 84, 84)
action space: Discrete(4)
running on device cuda
load pretrained model from breakout_dqn/199999.pth
obses on reset: 2 x (4, 84, 84) uint8
iter    500 |loss   0.00 |n_ep     3 |ep_len  170.9 |ep_rew   3.20 |raw_ep_rew    nan |env_step   1000 |time 00:04 rem 29:13
iter  26000 |loss   0.01 |n_ep   312 |ep_len  182.2 |ep_rew   4.55 |raw_ep_rew  33.60 |env_step  52000 |time 06:29 rem 43:24
iter  26500 |loss   0.00 |n_ep   317 |ep_len  163.8 |ep_rew   4.04 |raw_ep_rew  32.84 |env_step  53000 |time 06:37 rem 43:22
iter  27000 |loss   0.00 |n_ep   323 |ep_len  181.8 |ep_rew   4.54 |raw_ep_rew  34.35 |env_step  54000 |time 06:45 rem 43:19
iter  27500 |loss   0.00 |n_ep   326 |ep_len  204.9 |ep_rew   5.28 |raw_ep_rew  34.35 |env_step  55000 |time 06:54 rem 43:17
iter  28000 |loss   0.00 |n_ep   334 |ep_len  173.2 |ep_rew   4.16 |raw_ep_rew  35.06 |env_step  56000 |time 07:02 rem 43:14
iter  28500 |loss   0.00 |n_ep   338 |ep_len  196.0 |ep_rew   4.75 |raw_ep_rew  34.35 |env_step  57000 |time 07:10 rem 43:11
iter  29000 |loss   0.00 |n_ep   344 |ep_len  175.0 |ep_rew   4.09 |raw_ep_rew  34.42 |env_step  58000 |time 07:18 rem 43:07
iter  29500 |loss   0.00 |n_ep   348 |ep_len  182.8 |ep_rew   4.39 |raw_ep_rew  32.77 |env_step  59000 |time 07:27 rem 43:04
iter  30000 |loss   0.00 |n_ep   354 |ep_len  196.7 |ep_rew   4.73 |raw_ep_rew  34.10 |env_step  60000 |time 07:35 rem 43:01
iter  30500 |loss   0.00 |n_ep   360 |ep_len  170.5 |ep_rew   3.96 |raw_ep_rew  34.19 |env_step  61000 |time 07:43 rem 42:58
