Namespace(algo='dqn', batch_size=32, checkpoint_freq=200000, discount=0.99, ent_coef=0.01, env='BreakoutDeterministic-v4', eps_decay=200000, frame_skip=1, frame_stack=4, load='', log='log_breakout_dqn.txt', lr=0.0001, niter=200000, nproc=2, parallel_env=0, print_freq=500, replay_size=1000000, save_dir='breakout_dqn/', target_update=2500, train_freq=2, train_start=5000, value_coef=0.5)
observation space: Box(4, 84, 84)
action space: Discrete(4)
running on device cuda
obses on reset: 2 x (4, 84, 84) uint8
iter  56500 |loss   0.00 |n_ep  3470 |ep_len   35.0 |ep_rew  -0.11 |raw_ep_rew   1.38 |env_step 113000 |time 15:05 rem 38:19
iter  57000 |loss   0.00 |n_ep  3500 |ep_len   32.4 |ep_rew  -0.16 |raw_ep_rew   1.63 |env_step 114000 |time 15:14 rem 38:13
iter  57500 |loss   0.00 |n_ep  3532 |ep_len   32.7 |ep_rew  -0.13 |raw_ep_rew   1.07 |env_step 115000 |time 15:22 rem 38:06
iter  58000 |loss   0.00 |n_ep  3552 |ep_len   44.6 |ep_rew   0.13 |raw_ep_rew   1.79 |env_step 116000 |time 15:31 rem 38:00
iter  58500 |loss   0.00 |n_ep  3589 |ep_len   32.0 |ep_rew  -0.11 |raw_ep_rew   1.29 |env_step 117000 |time 15:40 rem 37:54
iter  59000 |loss   0.00 |n_ep  3616 |ep_len   31.0 |ep_rew  -0.22 |raw_ep_rew   1.59 |env_step 118000 |time 15:49 rem 37:48
iter  59500 |loss   0.00 |n_ep  3645 |ep_len   30.6 |ep_rew  -0.20 |raw_ep_rew   1.32 |env_step 119000 |time 15:57 rem 37:41
iter  60000 |loss   0.00 |n_ep  3677 |ep_len   30.4 |ep_rew  -0.20 |raw_ep_rew   1.25 |env_step 120000 |time 16:06 rem 37:35
iter  60500 |loss   0.00 |n_ep  3710 |ep_len   32.6 |ep_rew  -0.17 |raw_ep_rew   1.02 |env_step 121000 |time 16:15 rem 37:28
iter  61000 |loss   0.00 |n_ep  3735 |ep_len   40.2 |ep_rew   0.07 |raw_ep_rew   1.50 |env_step 122000 |time 16:24 rem 37:22
iter  61500 |loss   0.00 |n_ep  3761 |ep_len   42.2 |ep_rew   0.11 |raw_ep_rew   1.86 |env_step 123000 |time 16:32 rem 37:16
iter  62000 |loss   0.00 |n_ep  3789 |ep_len   33.4 |ep_rew  -0.11 |raw_ep_rew   1.65 |env_step 124000 |time 16:41 rem 37:09
iter  62500 |loss   0.00 |n_ep  3813 |ep_len   36.9 |ep_rew  -0.02 |raw_ep_rew   1.98 |env_step 125000 |time 16:50 rem 37:02
iter  63000 |loss   0.00 |n_ep  3844 |ep_len   35.7 |ep_rew  -0.01 |raw_ep_rew   1.76 |env_step 126000 |time 16:59 rem 36:56
iter  63500 |loss   0.00 |n_ep  3878 |ep_len   28.9 |ep_rew  -0.19 |raw_ep_rew   1.41 |env_step 127000 |time 17:08 rem 36:50
iter  64000 |loss   0.00 |n_ep  3904 |ep_len   42.2 |ep_rew   0.05 |raw_ep_rew   1.61 |env_step 128000 |time 17:17 rem 36:44
iter  64500 |loss   0.00 |n_ep  3932 |ep_len   35.2 |ep_rew  -0.12 |raw_ep_rew   1.73 |env_step 129000 |time 17:26 rem 36:37
iter  65000 |loss   0.00 |n_ep  3961 |ep_len   35.4 |ep_rew  -0.06 |raw_ep_rew   1.50 |env_step 130000 |time 17:35 rem 36:31
